County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Average Benefit per Recipient,Average Benefit per Meal ,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+
Bexar,San Antonio,78294,4, $102.25 , $409.00 ,4, $102.25 , $1.14 ,0,4,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78239,1674, $304.07 ," $509,016.00 ",4594, $110.80 , $1.23 ,2585,1861,148,5492,2351,2665,477,1133,0,804,329,84%,100%,70%,31%
Bexar,San Antonio,78278,24, $317.08 ," $7,610.00 ",61, $124.75 , $1.39 ,35,26,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78237,5144, $266.12 ," $1,368,907.00 ",12564, $108.95 , $1.21 ,6583,4998,983,16686,6638,8272,1776,4122,55,3274,793,75%,99%,60%,55%
Bexar,San Antonio,78214,2974, $259.51 ," $771,773.00 ",6975, $110.65 , $1.23 ,3590,2855,530,10332,3723,5435,1174,3357,133,2580,644,68%,96%,53%,45%
Bexar,San Antonio,78220,2186, $252.77 ," $552,555.00 ",5071, $108.96 , $1.21 ,2652,2084,335,6679,2771,3161,747,1608,119,1077,412,76%,96%,66%,45%
Bexar,San Antonio,78231,112, $244.34 ," $27,366.00 ",245, $111.70 , $1.24 ,122,100,23,861,264,574,23,616,142,474,0,28%,46%,17%,99%
Bexar,San Antonio,78257,55, $262.82 ," $14,455.00 ",129, $112.05 , $1.25 ,72,51,6,481,122,333,26,352,50,282,20,27%,59%,15%,23%
Bexar,San Antonio,78263,134, $246.36 ," $33,012.00 ",302, $109.31 , $1.21 ,143,146,13,441,215,146,79,138,72,0,66,69%,66%,100%,16%
Bexar,San Antonio,78250,1750, $294.76 ," $515,826.00 ",4769, $108.16 , $1.20 ,2671,1903,195,8385,3705,4208,472,3616,1034,2305,277,57%,72%,45%,41%
Bexar,San Antonio,78295,8, $93.88 , $751.00 ,8, $93.88 , $1.04 ,0,5,3,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78299,15, $123.00 ," $1,845.00 ",20, $92.25 , $1.03 ,4,12,4,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78280,5, $166.60 , $833.00 ,8, $104.13 , $1.16 ,3,4,1,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78232,509, $231.45 ," $117,810.00 ",1094, $107.69 , $1.20 ,509,503,82,3723,945,2436,343,2630,436,1933,261,29%,54%,21%,24%
Bexar,San Antonio,78218,2924, $269.76 ," $788,767.00 ",7101, $111.08 , $1.23 ,3770,2967,364,10211,3867,5323,1021,3110,97,2356,657,70%,98%,56%,36%
Bexar,San Antonio,78255,78, $276.74 ," $21,586.00 ",189, $114.21 , $1.27 ,85,86,18,297,82,174,41,111,0,88,23,64%,100%,49%,44%
Bexar,San Antonio,78223,4568, $254.18 ," $1,161,092.00 ",10840, $107.11 , $1.19 ,5610,4614,616,16885,6782,8649,1455,6046,1172,4035,839,64%,83%,53%,42%
Bexar,San Antonio,78298,6, $82.50 , $495.00 ,8, $61.88 , $0.69 ,2,6,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78293,11, $176.27 ," $1,939.00 ",15, $129.27 , $1.44 ,4,10,1,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78230,1143, $250.86 ," $286,736.00 ",2579, $111.18 , $1.24 ,1313,1147,119,6632,1638,4254,740,4053,325,3107,621,39%,80%,27%,16%
Bexar,San Antonio,78297,14, $98.00 ," $1,372.00 ",15, $91.47 , $1.02 ,0,8,7,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78245,2995, $305.88 ," $916,118.00 ",8710, $105.18 , $1.17 ,5003,3401,306,12362,6186,5818,358,3652,1183,2417,52,70%,81%,58%,85%
Bexar,San Antonio,78258,295, $254.86 ," $75,185.00 ",710, $105.89 , $1.18 ,342,298,70,2675,810,1541,324,1965,468,1243,254,27%,42%,19%,22%
